id:ID(Concept),name:String,language:String,sense:String,partOfSpeech:String
/c/en/unconventional/a/not_conventional_or_conformist,unconventional,en,not_conventional_or_conformist,a
/c/en/alternatively/r/in_place_of_or_as_an_alternative_to,alternatively,en,in_place_of_or_as_an_alternative_to,r
/c/en/alternative_press,alternative_press,en,,
/c/en/alternative,alternative,en,,
/c/bg/алтернатива/n,алтернатива,bg,,n
/c/en/alternate,alternate,en,,
/c/en/option/n/one_of_a_number_of_things_from_which_only_one_can_be_chosen,option,en,one_of_a_number_of_things_from_which_only_one_can_be_chosen,n
/c/en/alternative/a/pertaining_to_unconventional_choices,alternative,en,pertaining_to_unconventional_choices,a
/c/en/rock,rock,en,,
/c/en/stone,stone,en,,
/c/en/roll,roll,en,,
/c/en/mountain,mountain,en,,
/c/en/heavy,heavy,en,,
/c/en/moon,moon,en,,
/c/en/grind,grind,en,,
/c/en/suface_of_moon,suface_of_moon,en,,
/c/en/emo,emo,en,,
/c/en/example,example,en,,
/c/en/screamo,screamo,en,,
/c/en/bogger/n,bogger,en,,n
/c/en/emo/n/music,emo,en,music,n
/c/en/emo/n,emo,en,,n
/c/en/musical_composition,musical_composition,en,,
/c/ru/имо,имо,ru,,
/c/ru/эмо,эмо,ru,,
/c/en/guitar,guitar,en,,
/c/en/ireland,ireland,en,,
/c/en/punk,punk,en,,
/c/en/fast,fast,en,,
/c/en/walk,walk,en,,
/c/en/tortises,tortises,en,,
/c/en/slow/v/become_slow_or_slower,slow,en,become_slow_or_slower,v
/c/en/slowly/r/without_speed,slowly,en,without_speed,r
/c/en/slow/v/cause_to_proceed_more_slowly,slow,en,cause_to_proceed_more_slowly,v
/c/en/slow/a/not_moving_quickly,slow,en,not_moving_quickly,a
/c/en/slow/r/more_slowly,slow,en,more_slowly,r
/c/en/slow/a/at_a_slow_tempo,slow,en,at_a_slow_tempo,a
/c/en/slow,slow,en,,
/c/en/deceleration/n/a_decrease_in_rate_of_change,deceleration,en,a_decrease_in_rate_of_change,n
/c/en/slump/n/a_noticeable_deterioration_in_performance_or_quality,slump,en,a_noticeable_deterioration_in_performance_or_quality,n
